"网民上网时间分布（2016.02.01~2016.02.29）",
"时间段","浏览量占比",
"00:00~00:59","3.38%",
"01:00~01:59","2.28%",
"02:00~02:59","1.61%",
"03:00~03:59","1.25%",
"04:00~04:59","1.07%",
"05:00~05:59","1.08%",
"06:00~06:59","1.43%",
"07:00~07:59","2.26%",
"08:00~08:59","3.54%",
"09:00~09:59","4.69%",
"10:00~10:59","5.29%",
"11:00~11:59","5.33%",
"12:00~12:59","5.14%",
"13:00~13:59","5.45%",
"14:00~14:59","5.67%",
"15:00~15:59","5.79%",
"16:00~16:59","5.81%",
"17:00~17:59","5.43%",
"18:00~18:59","5.16%",
"19:00~19:59","5.67%",
"20:00~20:59","6.12%",
"21:00~21:59","6.2%",
"22:00~22:59","5.72%",
"23:00~23:59","4.64%",

